date,state,city,address,num_killed,num_injured,lat,long
31-Dec-18,Ohio,Cleveland,4462 Denison Ave,3,2,41.49932,-81.6943605
29-Dec-18,Ohio,Lima,904 S Main St,1,3,40.742551,-84.1052256
28-Dec-18,Missouri,Saint Charles,150 Whetstone Dr,4,1,38.7881062,-90.4974359
24-Dec-18,Louisiana,Lutcher,2176 Main St,2,2,30.0404796,-90.6989797
23-Dec-18,Missouri,Springfield,1042 W College St,0,7,37.2089572,-93.2922989
22-Dec-18,Nevada,Las Vegas,3528 S Maryland Pkwy,0,4,36.1699412,-115.1398296
18-Dec-18,Maryland,Baltimore,3942 Park Heights Ave,0,5,39.2903848,-76.6121893
15-Dec-18,Florida,Miami,239 NW 16th St,0,5,25.7616798,-80.1917902
14-Dec-18,Colorado,Colorado Springs,700 block of Geiger Ct,1,3,38.8338816,-104.8213634
13-Dec-18,Pennsylvania,Philadelphia,4505 N Broad St,0,4,39.9525839,-75.1652215
11-Dec-18,Louisiana,Natchitoches,Caspari St and University Pkwy,1,3,31.7607195,-93.0862749
9-Dec-18,North Carolina,Laurinburg,Lees Mill Rd,1,3,34.7740494,-79.4628248
9-Dec-18,Wisconsin,Madison,3554 E Washington Ave,0,4,43.0730517,-89.4012302
